player_name,pos,birth_date,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,birthday_parsed,birthdate_source_url
A.J. Brown,WR,1997-06-30,2016,19.17,0.092,0.092,0.0,0.0,0.0,0.0,2017,20.17,0.355,0.355,0.0,0.0,0.0,0.0,2018,21.17,0.302,0.302,0.0,0.0,0.0,0.0,2021,24.17,0.001,0.0,0.0,0.0,0.0,0.0,1997-06-30,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
A.J. Derby,TE,1991-09-20,2011,19.95,0.0,0.0,0.005,0.005,0.0,0.0,2013,21.95,0.001,0.001,0.083,0.083,0.0,0.0,2014,22.95,-0.001,-0.001,0.0,0.0,0.0,0.0,2014,22.95,0.133,0.133,0.0,0.0,0.0,0.0,1991-09-20,https://www.pro-football-reference.com/players/D/DerbA.00.htm
A.J. Feeley,QB,1977-05-16,2000,23.3,0.001,0.0,0.015,0.009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1977-05-16,https://www.pro-football-reference.com/players/F/FeelA.00.htm
A.J. Green,WR,1988-07-31,2008,20.09,0.282,0.282,0.0,0.0,0.0,0.0,2008,20.09,0.008,0.008,0.0,0.0,0.0,0.0,2009,21.09,0.279,0.279,0.0,0.0,0.0,0.0,2010,22.09,0.007,0.007,0.0,0.0,0.0,0.0,1988-07-31,https://www.pro-football-reference.com/players/G/GreeA.00.htm
A.J. Jenkins,WR,1989-09-30,2008,18.92,0.113,0.113,0.0,0.0,0.0,0.0,2009,19.92,-0.0,-0.0,0.0,0.0,0.0,0.0,2009,19.92,0.06,0.06,0.0,0.0,0.0,0.0,2010,20.92,0.384,0.384,0.0,0.0,0.0,0.0,1989-09-30,https://www.pro-football-reference.com/players/J/JenkA.00.htm
A.J. McCarron,QB,1990-09-13,2010,19.97,-0.001,-0.001,0.12,0.12,0.0,0.0,2011,20.97,0.059,0.059,0.971,0.971,0.0,0.0,2012,21.97,0.017,0.017,0.964,0.964,0.0,0.0,2013,22.97,-0.003,-0.003,0.941,0.941,0.0,0.0,1990-09-13,https://www.pro-football-reference.com/players/M/McCaA.00.htm
A.T. Perry,WR,1999-10-26,2019,19.85,0.024,0.023,0.0,0.0,0.0,0.0,2020,20.85,0.077,0.073,0.0,0.0,0.0,0.0,2021,21.85,0.343,0.325,0.0,0.0,0.0,0.0,2022,22.85,0.263,0.25,0.0,0.0,0.0,0.0,1999-10-26,https://www.pro-football-reference.com/players/P/PerrAT00.htm
AJ Barner,TE,2002-05-03,2021,19.33,0.094,0.094,0.0,0.0,0.0,0.0,2022,20.33,0.132,0.132,0.0,0.0,0.0,0.0,2023,21.33,0.06,0.06,0.0,0.0,0.0,0.0,,,,,,,,,2002-05-03,https://www.pro-football-reference.com/players/B/BarnAJ00.htm
AJ Dillon,RB,1998-05-02,2017,19.33,0.805,0.765,0.0,0.0,0.0,0.0,2018,20.33,0.028,0.027,0.0,0.0,0.0,0.0,2018,20.33,0.414,0.394,0.0,0.0,0.0,0.0,2019,21.33,0.718,0.682,0.0,0.0,0.0,0.0,1998-05-02,https://www.pro-football-reference.com/players/D/DillAJ00.htm
Aaron Brown,RB,1985-10-10,2005,19.89,0.352,0.268,0.0,0.0,0.0,0.0,2005,19.89,0.129,0.098,0.0,0.0,0.0,0.0,2006,20.89,0.444,0.337,0.0,0.0,0.0,0.0,2006,20.89,0.115,0.088,0.0,0.0,0.0,0.0,1985-10-10,https://www.pro-football-reference.com/players/B/BrowAa00.htm
Aaron Burbridge,WR,1993-12-23,2012,18.69,0.138,0.138,0.0,0.0,0.0,0.0,2012,18.69,0.001,0.001,0.0,0.0,0.0,0.0,2013,19.69,0.01,0.01,0.0,0.0,0.0,0.0,2013,19.69,0.033,0.033,0.0,0.0,0.0,0.0,1993-12-23,https://www.pro-football-reference.com/players/B/BurbAa00.htm
Aaron Dobson,WR,1991-07-23,2009,18.11,0.21,0.147,0.0,0.0,0.0,0.0,2010,19.11,0.003,0.002,0.0,0.0,0.0,0.0,2010,19.11,0.246,0.172,0.0,0.0,0.0,0.0,2011,20.11,0.393,0.275,0.0,0.0,0.0,0.0,1991-07-23,https://www.pro-football-reference.com/players/D/DobsAa00.htm
Aaron Hernandez,TE,1989-11-06,2007,17.82,0.054,0.054,0.0,0.0,0.0,0.0,2008,18.82,0.139,0.139,0.0,0.0,0.0,0.0,2009,19.82,0.002,0.002,0.0,0.0,0.0,0.0,2009,19.82,0.218,0.218,0.0,0.0,0.0,0.0,1989-11-06,https://www.pro-football-reference.com/players/H/HernAa00.htm
Aaron Jones,RB,1994-12-02,2000,5.75,0.0,0.0,0.0,0.0,0.0,0.0,2000,5.75,0.0,0.0,0.0,0.0,0.0,0.0,2013,18.75,0.35,0.245,0.0,0.0,0.0,0.0,2013,18.75,0.004,0.003,0.0,0.0,0.0,0.0,1994-12-02,https://www.pro-football-reference.com/players/J/JoneAa00.htm
Aaron Lockett,WR,1978-09-06,2000,21.99,0.011,0.011,0.0,0.0,0.0,0.0,2000,21.99,0.159,0.151,0.0,0.0,0.0,0.0,2001,22.99,0.307,0.291,0.0,0.0,0.0,0.0,2001,22.99,0.001,0.001,0.0,0.0,0.0,0.0,1978-09-06,https://en.wikipedia.org/wiki/Aaron_Lockett_(gridiron_football)
Aaron Mellette,WR,1989-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-28,https://en.wikipedia.org/wiki/Aaron_Mellette
Aaron Murray,QB,1990-11-10,2010,19.81,0.106,0.106,0.964,0.964,0.0,0.0,2011,20.81,-0.0,-0.0,0.933,0.933,0.0,0.0,2011,20.81,0.043,0.043,0.933,0.933,0.0,0.0,2012,21.81,0.032,0.032,0.974,0.974,0.0,0.0,1990-11-10,https://en.wikipedia.org/wiki/Aaron_Murray
Aaron Ripkowski,RB,1992-12-20,2013,20.7,0.021,0.02,0.0,0.0,0.0,0.0,2014,21.7,0.091,0.086,0.0,0.0,0.0,0.0,2014,21.7,0.037,0.035,0.0,0.0,0.0,0.0,,,,,,,,,1992-12-20,https://www.pro-football-reference.com/players/R/RipkAa00.htm
Aaron Rodgers,QB,1983-12-02,2003,19.75,0.118,0.071,0.731,0.439,0.0,0.0,2004,20.75,0.002,0.001,0.898,0.539,0.0,0.0,,,,,,,,,,,,,,,,,1983-12-02,https://www.pro-football-reference.com/players/R/RodgAa00.htm
Aaron Shea,TE,1976-12-05,2010,33.74,0.001,0.001,0.0,0.0,0.0,0.0,2011,34.74,0.007,0.007,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1976-12-05,https://www.pro-football-reference.com/players/S/SheaAa00.htm
Aaron Walker,TE,1980-03-14,2000,20.47,0.064,0.064,0.0,0.0,0.0,0.0,2001,21.47,0.04,0.028,0.0,0.0,0.0,0.0,2001,21.47,0.067,0.047,0.0,0.0,0.0,0.0,2001,21.47,0.043,0.043,0.0,0.0,0.0,0.0,1980-03-14,https://www.pro-football-reference.com/players/W/WalkAa00.htm
Ace Sanders,WR,1991-11-11,2010,18.81,0.008,0.008,0.022,0.022,0.0,0.0,2010,18.81,0.091,0.091,0.022,0.022,0.0,0.0,2011,19.81,0.134,0.134,0.0,0.0,0.0,0.0,2011,19.81,0.003,0.003,0.0,0.0,0.0,0.0,1991-11-11,https://www.pro-football-reference.com/players/S/SandAc00.htm
Adam Jennings,WR,1982-11-17,2002,19.79,0.0,0.0,0.0,0.0,0.0,0.0,2002,19.79,0.0,0.0,0.0,0.0,0.0,0.0,2003,20.79,0.0,0.0,0.0,0.0,0.0,0.0,2003,20.79,0.0,0.0,0.0,0.0,0.0,0.0,1982-11-17,https://www.pro-football-reference.com/players/J/JennAd00.htm
Adam Shaheen,TE,1994-10-24,2005,10.86,0.022,0.017,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1994-10-24,https://www.pro-football-reference.com/players/S/ShahAd00.htm
Adam Trautman,TE,1997-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-02-05,https://www.pro-football-reference.com/players/T/TrauAd00.htm
Adimchinobe Echemandu,RB,1980-11-21,2000,19.78,0.15,0.09,0.0,0.0,0.0,0.0,2000,19.78,0.042,0.025,0.0,0.0,0.0,0.0,2003,22.78,0.393,0.236,0.0,0.0,0.0,0.0,2003,22.78,0.025,0.015,0.0,0.0,0.0,0.0,1980-11-21,https://www.pro-football-reference.com/players/E/EcheAd00.htm
